zip	data
03743	5002
03745	782
03748	2139
03750	355
03751	228
03752	308
03753	1289
03755	2955
03765	196
03766	4559
03768	648
03770	149
03771	302
03773	3066
03774	668
03777	552
03779	335
03780	221
03781	700
03782	1047
03784	1909
03785	780
03801	10899
03809	1517
03810	902
03811	2971
03812	450
03813	1892
03814	978
03816	574
03817	281
03818	1647
03819	1720
03820	15021
03823	719
03824	2901
03825	3452
03826	1113
03827	1187
03830	716
03832	182
03833	9052
03835	2873
03836	608
03837	694
03838	509
03839	1645
03840	1619
03841	2583
03842	7544
03844	873
03845	730
03846	487
03847	94
03848	2692
03849	465
03850	111
03851	1563
03852	92
03853	325
03854	439
03855	1040
03856	631
03857	4313
03858	1802
03860	1947
03861	1663
03862	2057
03864	728
03865	3180
03867	9815
03868	2362
03869	1052
03870	2171
03871	216
03872	1639
03873	2223
03874	3888
03875	407
03878	5350
03882	545
03883	185
03884	1546
03885	3019
03886	576
03887	704
03890	10
03894	2727
03897	8
03901	3497
03902	998
03903	2832
03904	4060
03905	880
03906	2047
03907	612
03908	2820
03909	4550
03910	0
03911	115
04001	1076
04002	3123
04003	53
04005	9982
04006	37
04008	1240
04009	2287
04010	617
04011	8754
04015	1653
04017	300
04019	38
04020	755
04021	2312
04022	507
04024	180
04027	2444
04029	847
04030	967
04032	3566
04037	1560
04038	6305
04039	3568
04040	1401
04041	644
04042	1849
04043	5254
04046	3405
04047	705
04048	1170
04049	1616
04050	133
04051	556
04055	2099
04056	60
04057	21
04061	1025
04062	7842
04063	365
04064	4855
04066	394
04068	600
04069	627
04071	2104
04072	8851
04073	7236
04074	9427
04076	1107
04079	2110
04083	2095
04084	2719
04085	979
04086	4054
04087	747
04088	584
04090	5006
04091	322
04092	8930
04093	3501
04095	608
04096	3471
04097	1502
04101	10323
04102	8139
04103	13364
04105	5006
04106	12259
04107	3797
04108	427
04109	102
04110	688
04210	10430
04216	254
04217	1546
04219	515
04220	1295
04221	317
04222	1677
04224	1181
04226	37
04227	5
04231	123
04234	0
04236	1765
04237	108
04238	431
04239	2024
04240	15753
04250	1930
04252	2003
04253	883
04254	1510
04255	328
04256	1143
04257	1108
04258	1164
04259	1486
04260	2122
04261	164
04263	815
04265	338
04267	8
04268	2109
04270	2359
04271	0
04274	2344
04275	274
04276	2686
04280	2978
04281	2097
04282	2237
04284	507
04285	210
04286	0
04287	1366
04289	679
04290	648
04292	408
04294	1561
04330	12056
04341	0
04342	719
04344	1438
04345	5117
04346	762
04347	1317
04348	1264
04349	613
04350	1561
04351	1016
04352	715
04353	970
04354	620
04355	980
04357	1510
04358	1855
04359	160
04360	233
04363	1051
04364	2583
04401	19090
04406	404
04408	98
04410	450
04411	616
04412	4440
04413	108
04414	862
04415	134
04416	2423
04417	200
04418	652
04419	1262
04421	302
04422	453
04424	500
04426	2168
04427	1149
04428	1365
04429	2249
04430	672
04431	17
04434	504
04435	445
04438	524
04441	933
04442	49
04443	1013
04444	3626
04448	580
04449	508
04450	489
04451	141
04453	333
04454	5
04455	331
04456	1135
04457	2816
04459	360
04460	540
04461	1273
04462	2286
04463	1278
04464	269
04468	3960
04469	0
04471	245
04472	841
04473	3478
04474	1597
04475	162
04476	528
04478	248
04479	575
04481	237
04485	90
04487	380
04488	400
04489	164
04490	135
04491	84
04492	84
04493	834
04495	157
04496	1639
04497	163
04530	5428
04535	301
04537	885
04538	874
04539	637
04541	28
04543	931
04544	488
04547	580
04548	435
04551	352
04553	738
04554	341
04555	826
04556	563
04558	159
04562	911
04563	699
04564	238
04568	283
04570	0
04571	280
04572	2713
04573	184
04574	677
04575	124
04576	291
04578	1959
04579	1231
04605	6295
04606	510
04607	576
04609	2416
04611	199
04612	268
04613	57
04614	1323
04616	374
04617	317
04619	1456
04622	478
04623	450
04624	105
04625	28
04626	232
04627	826
04628	236
04630	557
04631	623
04634	948
04635	9
04640	1089
04642	121
04643	387
04645	41
04646	55
04648	229
04649	576
04650	187
04652	767
04653	268
04654	1318
04655	417
04657	170
04658	540
04660	512
04662	212
04664	516
04666	552
04667	518
04668	885
04669	76
04671	246
04673	101
04674	110
04675	58
04676	545
04677	147
04679	752
04680	531
04681	518
04683	0
04684	872
04685	189
04686	81
04691	246
04693	239
04694	1027
04730	4140
04732	733
04733	166
04734	291
04735	248
04736	4182
04737	0
04739	333
04740	593
04742	1435
04743	2096
04745	380
04746	218
04747	575
04750	802
04756	1636
04757	1096
04758	607
04760	309
04761	185
04762	215
04763	322
04764	18
04765	635
04766	135
04768	195
04769	4046
04772	404
04773	305
04774	343
04776	303
04777	190
04779	161
04780	355
04781	249
04783	212
04785	850
04786	770
04787	148
04841	3386
04843	2449
04847	670
04848	364
04849	1774
04851	39
04852	53
04853	196
04854	637
04855	194
04856	1444
04858	596
04859	367
04860	789
04861	1361
04862	1743
04863	552
04864	1559
04901	11255
04910	941
04911	800
04912	347
04915	4175
04917	1316
04918	0
04920	922
04921	757
04922	432
04923	221
04924	883
04925	45
04926	0
04927	1403
04928	861
04929	309
04930	2025
04932	531
04936	133
04937	2821
04938	3999
